month,customer_id,feature_name,eligible_flag,feature_used_flag,seat_count,active_users,seat_utilization_pct,login_count,workflow_runs,collaboration_actions,dashboard_views,exports_count,export_gb,api_calls,storage_gb,compute_minutes,ai_tokens_million,athena_scanned_gb,analytics_queries,admin_actions
2025-01-01,CUST-0001,Workflow Automation,True,True,59,14,0.5094,184,511,0,0,0,0.0,0,0.0,40.88,0.0,0.0,0,0
2025-01-01,CUST-0001,Team Collaboration,True,True,59,22,0.5094,534,0,2363,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
2025-01-01,CUST-0001,Dashboard Reporting,True,True,59,15,0.5094,301,0,0,288,0,0.0,0,0.0,34.56,0.0,57.7149,0,0
2025-01-01,CUST-0001,Data Export,True,False,59,0,0.5094,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
2025-01-01,CUST-0001,File Storage,True,True,59,28,0.5094,223,0,0,0,0,0.0,0,67.3758,0.0,0.0,0.0,0,0
2025-01-01,CUST-0001,API Integration,True,True,59,13,0.5094,117,0,0,0,0,0.0,325253,0.0,36.1392,0.0,0.0,0,0
2025-02-01,CUST-0001,Workflow Automation,True,True,58,21,0.6007,298,953,0,0,0,0.0,0,0.0,76.24,0.0,0.0,0,0
2025-02-01,CUST-0001,Team Collaboration,True,True,58,24,0.6007,264,0,2884,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
2025-02-01,CUST-0001,Dashboard Reporting,True,True,58,23,0.6007,377,0,0,439,0,0.0,0,0.0,52.68,0.0,119.7019,0,0
2025-02-01,CUST-0001,Data Export,True,False,58,0,0.6007,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
2025-02-01,CUST-0001,File Storage,True,True,58,22,0.6007,370,0,0,0,0,0.0,0,60.6883,0.0,0.0,0.0,0,0
2025-02-01,CUST-0001,API Integration,True,True,58,11,0.6007,116,0,0,0,0,0.0,440695,0.0,48.9661,0.0,0.0,0,0
2025-03-01,CUST-0001,Workflow Automation,True,True,65,42,0.7007,469,867,0,0,0,0.0,0,0.0,69.36,0.0,0.0,0,0
2025-03-01,CUST-0001,Team Collaboration,True,True,65,19,0.7007,543,0,1195,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
2025-03-01,CUST-0001,Dashboard Reporting,True,True,65,38,0.7007,728,0,0,947,0,0.0,0,0.0,113.64,0.0,134.5027,0,0
2025-03-01,CUST-0001,Data Export,True,True,65,32,0.7007,385,0,0,0,105,13.7084,0,0.0,0.0,0.0,0.0,0,0
2025-03-01,CUST-0001,File Storage,True,False,65,0,0.7007,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
2025-03-01,CUST-0001,API Integration,True,True,65,14,0.7007,253,0,0,0,0,0.0,248073,0.0,27.5637,0.0,0.0,0,0
2025-04-01,CUST-0001,Workflow Automation,True,True,70,18,0.5493,141,1161,0,0,0,0.0,0,0.0,92.88,0.0,0.0,0,0
2025-04-01,CUST-0001,Team Collaboration,True,True,70,10,0.5493,232,0,1479,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
2025-04-01,CUST-0001,Dashboard Reporting,True,True,70,17,0.5493,315,0,0,396,0,0.0,0,0.0,47.52,0.0,36.3928,0,0
2025-04-01,CUST-0001,Data Export,True,True,70,17,0.5493,427,0,0,0,45,7.1633,0,0.0,0.0,0.0,0.0,0,0
2025-04-01,CUST-0001,File Storage,True,False,70,0,0.5493,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
2025-04-01,CUST-0001,API Integration,True,True,70,22,0.5493,272,0,0,0,0,0.0,830486,0.0,92.2762,0.0,0.0,0,0
2025-05-01,CUST-0001,Workflow Automation,True,True,63,31,0.5869,279,886,0,0,0,0.0,0,0.0,70.88,0.0,0.0,0,0
2025-05-01,CUST-0001,Team Collaboration,True,True,63,24,0.5869,237,0,2748,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
2025-05-01,CUST-0001,Dashboard Reporting,True,True,63,25,0.5869,419,0,0,472,0,0.0,0,0.0,56.64,0.0,75.3805,0,0
2025-05-01,CUST-0001,Data Export,True,False,63,0,0.5869,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
2025-05-01,CUST-0001,File Storage,True,True,63,25,0.5869,636,0,0,0,0,0.0,0,64.9329,0.0,0.0,0.0,0,0
2025-05-01,CUST-0001,API Integration,True,True,63,23,0.5869,625,0,0,0,0,0.0,436211,0.0,48.4679,0.0,0.0,0,0
2025-05-01,CUST-0001,AI Assistant,True,False,63,0,0.5869,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
2025-06-01,CUST-0001,Workflow Automation,True,False,64,0,0.6468,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
2025-06-01,CUST-0001,Team Collaboration,True,True,64,28,0.6468,237,0,3016,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
2025-06-01,CUST-0001,Dashboard Reporting,True,True,64,17,0.6468,279,0,0,266,0,0.0,0,0.0,31.92,0.0,58.1952,0,0
2025-06-01,CUST-0001,Data Export,True,True,64,18,0.6468,252,0,0,0,85,16.5149,0,0.0,0.0,0.0,0.0,0,0
2025-06-01,CUST-0001,File Storage,True,False,64,0,0.6468,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
2025-06-01,CUST-0001,API Integration,True,True,64,35,0.6468,528,0,0,0,0,0.0,1466570,0.0,162.9522,0.0,0.0,0,0
2025-06-01,CUST-0001,AI Assistant,True,True,64,36,0.6468,450,0,0,0,0,0.0,0,0.0,132.594,2.946533,0.0,0,0
2025-07-01,CUST-0001,Workflow Automation,True,True,65,15,0.4438,268,756,0,0,0,0.0,0,0.0,60.48,0.0,0.0,0,0
2025-07-01,CUST-0001,Team Collaboration,True,True,65,22,0.4438,388,0,3294,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
2025-07-01,CUST-0001,Dashboard Reporting,True,True,65,26,0.4438,615,0,0,647,0,0.0,0,0.0,77.64,0.0,115.3608,0,0
2025-07-01,CUST-0001,Data Export,True,False,65,0,0.4438,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
2025-07-01,CUST-0001,File Storage,True,True,65,15,0.4438,242,0,0,0,0,0.0,0,71.605,0.0,0.0,0.0,0,0
2025-07-01,CUST-0001,API Integration,True,True,65,17,0.4438,297,0,0,0,0,0.0,563155,0.0,62.5728,0.0,0.0,0,0
2025-07-01,CUST-0001,AI Assistant,True,True,65,24,0.4438,508,0,0,0,0,0.0,0,0.0,47.8617,1.063592,0.0,0,0
2025-08-01,CUST-0001,Workflow Automation,True,True,63,16,0.7346,264,421,0,0,0,0.0,0,0.0,33.68,0.0,0.0,0,0
2025-08-01,CUST-0001,Team Collaboration,True,True,63,23,0.7346,180,0,1595,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
2025-08-01,CUST-0001,Dashboard Reporting,True,True,63,38,0.7346,278,0,0,617,0,0.0,0,0.0,74.04,0.0,66.7758,0,0
2025-08-01,CUST-0001,Data Export,True,False,63,0,0.7346,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
2025-08-01,CUST-0001,File Storage,True,True,63,38,0.7346,551,0,0,0,0,0.0,0,84.9637,0.0,0.0,0.0,0,0
2025-08-01,CUST-0001,API Integration,True,True,63,39,0.7346,520,0,0,0,0,0.0,1201974,0.0,133.5527,0.0,0.0,0,0
2025-08-01,CUST-0001,AI Assistant,True,True,63,36,0.7346,667,0,0,0,0,0.0,0,0.0,32.3561,0.719024,0.0,0,0
2025-09-01,CUST-0001,Workflow Automation,True,True,100,40,0.6955,451,2064,0,0,0,0.0,0,0.0,165.12,0.0,0.0,0,0
2025-09-01,CUST-0001,Team Collaboration,True,True,100,48,0.6955,570,0,3696,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
2025-09-01,CUST-0001,Dashboard Reporting,True,True,100,31,0.6955,379,0,0,1231,0,0.0,0,0.0,147.72,0.0,255.076,0,0
2025-09-01,CUST-0001,Data Export,True,True,100,47,0.6955,719,0,0,0,182,9.7722,0,0.0,0.0,0.0,0.0,0,0
2025-09-01,CUST-0001,File Storage,True,True,100,24,0.6955,168,0,0,0,0,0.0,0,80.1387,0.0,0.0,0.0,0,0
2025-09-01,CUST-0001,API Integration,True,True,100,61,0.6955,643,0,0,0,0,0.0,3115241,0.0,346.1379,0.0,0.0,0,0
2025-09-01,CUST-0001,AI Assistant,True,True,100,42,0.6955,384,0,0,0,0,0.0,0,0.0,129.1409,2.869799,0.0,0,0
2025-09-01,CUST-0001,Advanced Analytics,True,False,100,0,0.6955,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0
2025-09-01,CUST-0001,Admin Controls,True,True,100,19,0.6955,383,0,0,0,0,0.0,0,0.0,4.27,0.0,0.0,0,61
